Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-20,23,,,47.000000,23.000000,12.000000,,19.000000
2008-01-21,00,,,48.000000,24.000000,18.000000,,19.000000
2008-01-21,01,,,50.000000,23.000000,17.000000,,19.000000
2008-01-21,02,,,48.000000,22.000000,16.000000,,18.000000
2008-01-21,03,,,49.000000,16.000000,12.000000,,18.000000
2008-01-21,04,,,53.000000,23.000000,6.000000,,18.000000
2008-01-21,05,,,47.000000,17.000000,8.000000,,18.000000
2008-01-21,06,,,50.000000,28.000000,9.000000,,21.000000
2008-01-21,07,,,53.000000,60.000000,6.000000,,27.000000
2008-01-21,08,,,55.000000,68.000000,10.000000,,38.000000
2008-01-21,09,,,59.000000,71.000000,20.000000,,66.000000
2008-01-21,10,,,53.000000,63.000000,28.000000,,52.000000
2008-01-21,11,,,45.000000,28.000000,25.000000,,39.000000
2008-01-21,12,,,52.000000,14.000000,8.000000,,39.000000
2008-01-21,13,,,43.000000,13.000000,1.000000,,31.000000
2008-01-21,14,,,36.000000,10.000000,1.000000,,7.000000
2008-01-21,15,,,36.000000,10.000000,2.000000,,5.000000
2008-01-21,16,,,36.000000,9.000000,3.000000,,6.000000
2008-01-21,17,,,39.000000,11.000000,6.000000,,8.000000
2008-01-21,18,,,46.000000,23.000000,12.000000,,18.000000
2008-01-21,19,,,54.000000,40.000000,14.000000,,31.000000
2008-01-21,20,,,52.000000,43.000000,14.000000,,24.000000
2008-01-21,21,,,46.000000,28.000000,13.000000,,13.000000
2008-01-21,22,,,48.000000,34.000000,8.000000,,9.000000
2008-01-21,23,,,47.000000,38.000000,10.000000,,8.000000
2008-01-22,00,,,49.000000,32.000000,11.000000,,11.000000
2008-01-22,01,,,49.000000,29.000000,13.000000,,10.000000
2008-01-22,02,,,47.000000,26.000000,13.000000,,10.000000
2008-01-22,03,,,47.000000,24.000000,13.000000,,7.000000
2008-01-22,04,,,45.000000,16.000000,12.000000,,13.000000
2008-01-22,05,,,53.000000,16.000000,12.000000,,20.000000
2008-01-22,06,,,51.000000,31.000000,10.000000,,22.000000
2008-01-22,07,,,47.000000,32.000000,6.000000,,27.000000
2008-01-22,08,,,54.000000,87.000000,11.000000,,47.000000
2008-01-22,09,,,55.000000,53.000000,21.000000,,63.000000
2008-01-22,10,,,51.000000,14.000000,45.000000,,42.000000
2008-01-22,11,,,44.000000,13.000000,21.000000,,39.000000
2008-01-22,12,,,36.000000,14.000000,9.000000,,17.000000
2008-01-22,13,,,37.000000,18.000000,7.000000,,15.000000
2008-01-22,14,,,41.000000,21.000000,7.000000,,20.000000
2008-01-22,15,,,42.000000,17.000000,6.000000,,17.000000
2008-01-22,16,,,51.000000,22.000000,6.000000,,16.000000
2008-01-22,17,,,46.000000,52.000000,10.000000,,15.000000
2008-01-22,18,,,52.000000,41.000000,15.000000,,21.000000
2008-01-22,19,,,55.000000,35.000000,18.000000,,25.000000
2008-01-22,20,,,45.000000,31.000000,15.000000,,20.000000
2008-01-22,21,,,44.000000,34.000000,13.000000,,19.000000
2008-01-22,22,,,47.000000,43.000000,9.000000,,19.000000
2008-01-22,23,,,47.000000,41.000000,7.000000,,20.000000
2008-01-23,00,,,53.000000,38.000000,11.000000,,24.000000
2008-01-23,01,,,52.000000,30.000000,11.000000,,24.000000
2008-01-23,02,,,48.000000,28.000000,8.000000,,9.000000
2008-01-23,03,,,48.000000,34.000000,9.000000,,5.000000
2008-01-23,04,,,43.000000,30.000000,10.000000,,12.000000
2008-01-23,05,,,43.000000,21.000000,11.000000,,23.000000
2008-01-23,06,,,48.000000,22.000000,11.000000,,24.000000
2008-01-23,07,,,53.000000,31.000000,8.000000,,25.000000
2008-01-23,08,,,64.000000,57.000000,9.000000,,33.000000
