Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-14,19,28.000000,41.000000,47.000000,,57.000000,45.000000
2009-01-14,20,14.000000,32.000000,48.000000,,74.000000,37.000000
2009-01-14,21,13.000000,32.000000,42.000000,,60.000000,35.000000
2009-01-14,22,17.000000,32.000000,50.000000,,57.000000,32.000000
2009-01-14,23,15.000000,26.000000,52.000000,,54.000000,32.000000
2009-01-15,00,12.000000,28.000000,43.000000,,52.000000,30.000000
2009-01-15,01,23.000000,21.000000,42.000000,,46.000000,27.000000
2009-01-15,02,17.000000,17.000000,36.000000,,45.000000,24.000000
2009-01-15,03,17.000000,16.000000,32.000000,,43.000000,24.000000
2009-01-15,04,22.000000,20.000000,32.000000,,41.000000,24.000000
2009-01-15,05,28.000000,27.000000,41.000000,,43.000000,25.000000
2009-01-15,06,30.000000,35.000000,53.000000,,38.000000,39.000000
2009-01-15,07,29.000000,36.000000,66.000000,,45.000000,42.000000
2009-01-15,08,34.000000,39.000000,69.000000,,59.000000,45.000000
2009-01-15,09,51.000000,37.000000,60.000000,,62.000000,53.000000
2009-01-15,10,54.000000,24.000000,40.000000,,54.000000,47.000000
2009-01-15,11,34.000000,17.000000,33.000000,,48.000000,38.000000
2009-01-15,12,25.000000,13.000000,32.000000,,44.000000,33.000000
2009-01-15,13,23.000000,10.000000,36.000000,,42.000000,28.000000
2009-01-15,14,25.000000,14.000000,40.000000,,44.000000,27.000000
2009-01-15,15,23.000000,20.000000,43.000000,,46.000000,28.000000
2009-01-15,16,21.000000,24.000000,40.000000,,50.000000,32.000000
2009-01-15,17,25.000000,38.000000,39.000000,,56.000000,43.000000
2009-01-15,18,28.000000,38.000000,47.000000,,59.000000,46.000000
2009-01-15,19,30.000000,33.000000,47.000000,,55.000000,47.000000
2009-01-15,20,28.000000,35.000000,44.000000,,55.000000,45.000000
2009-01-15,21,23.000000,36.000000,52.000000,,52.000000,42.000000
2009-01-15,22,2.000000,33.000000,53.000000,,57.000000,39.000000
2009-01-15,23,2.000000,28.000000,51.000000,,53.000000,35.000000
2009-01-16,00,3.000000,17.000000,39.000000,,43.000000,28.000000
2009-01-16,01,2.000000,15.000000,33.000000,,39.000000,27.000000
2009-01-16,02,1.000000,15.000000,33.000000,,37.000000,27.000000
2009-01-16,03,,14.000000,30.000000,,35.000000,25.000000
2009-01-16,04,1.000000,12.000000,29.000000,,35.000000,24.000000
2009-01-16,05,1.000000,14.000000,34.000000,,38.000000,25.000000
2009-01-16,06,1.000000,22.000000,40.000000,,41.000000,26.000000
2009-01-16,07,2.000000,27.000000,46.000000,,43.000000,32.000000
2009-01-16,08,2.000000,25.000000,49.000000,,52.000000,31.000000
